order_id,order_date,requested_delivery_date,actual_delivery_date,depot,customer_id,channel,distance_km,sku_id,sku_name,brand,sugar_type,pack_format,ordered_cases,delivered_cases,on_time,in_full,otif,failure_reason,net_realization_per_case,contrib_margin_per_case,shortfall_cases,lost_revenue_inr,lost_margin_inr
SO200001,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1405,General-Trade,37.7,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,6,6,1,1,1,None,360,104,0,0,0
SO200002,2026-01-01,2026-01-03,2026-01-03,BLR-South,CUST1292,HoReCa,22.2,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,6,6,1,1,1,None,360,104,0,0,0
SO200003,2026-01-01,2026-01-02,2026-01-02,BLR-North,CUST1394,Quick-Commerce,24.7,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,6,6,1,1,1,None,540,168,0,0,0
SO200004,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1392,General-Trade,14.6,TU-PET-750,Thums Up 750ml PET,Thums Up,Reg,PET,10,10,1,1,1,None,350,100,0,0,0
SO200005,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1276,Modern-Trade,41.3,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,7,7,1,1,1,None,470,150,0,0,0
SO200006,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1133,Modern-Trade,44.4,DC-CAN-300,Diet Coke 300ml Can,Diet Coke,Zero,CAN,5,5,1,1,1,None,540,168,0,0,0
SO200007,2026-01-01,2026-01-03,2026-01-03,BLR-East,CUST1273,General-Trade,9.7,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,12,12,1,1,1,None,360,104,0,0,0
SO200008,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1429,General-Trade,21.2,CC-PET-750,Coca-Cola 750ml PET,Coca-Cola,Reg,PET,24,24,1,1,1,None,360,104,0,0,0
SO200009,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1504,Modern-Trade,42.0,DC-CAN-250,Diet Coke 250ml Can,Diet Coke,Zero,CAN,11,11,1,1,1,None,470,150,0,0,0
SO200010,2026-01-01,2026-01-03,2026-01-03,BLR-North,CUST1482,General-Trade,17.3,CZ-CAN-300,Coke Zero 300ml Can,Coke Zero,Zero,CAN,20,20,1,1,1,None,520,160,0,0,0
